"","id","case_","x_","y_","annual_100m","perennial_100m","shrub_100m","annual_500m","perennial_500m","shrub_500m","territory","sex"
"121",1,FALSE,548294.682217956,4802365.52534486,21.1666666666667,21.75,4.66666666666667,18.2281879194631,24.6040268456376,5.74496644295302,"HHGS_DS","female"
"122",1,FALSE,549520.926689463,4801255.34247952,21.4166666666667,21,7.75,21.7066666666667,20.4166666666667,6.46666666666667,"HHGS_DS","female"
"123",1,FALSE,547050.425383866,4794954.8099099,52.3333333333333,13.9166666666667,7.83333333333333,36.5116279069767,20.8803986710963,10.2790697674419,"HHGS_DS","female"
"124",1,FALSE,549111.198433022,4800968.82186204,17,22.9166666666667,6.16666666666667,20.7641196013289,20.7475083056478,6.5514950166113,"HHGS_DS","female"
"125",1,FALSE,547135.029073116,4810115.440568,7.91666666666667,49.5833333333333,10.9166666666667,13.6567656765677,40.5445544554455,8.90759075907591,"HHGS_DS","female"
"126",1,FALSE,546963.227318241,4794124.00819513,23.3636363636364,26.5454545454545,4.54545454545455,24.4150326797386,27.6862745098039,4.82352941176471,"HHGS_DS","female"
"127",1,FALSE,547116.542749867,4798949.8068011,25.0833333333333,19.1666666666667,4.58333333333333,22.7166666666667,18.4766666666667,7.04,"HHGS_DS","female"
"128",1,FALSE,549237.457095754,4802901.07951525,11.75,34.1666666666667,11.5833333333333,11.8833333333333,32.4466666666667,13.1033333333333,"HHGS_DS","female"
"129",1,FALSE,549218.006218936,4805438.36767122,14,20.3846153846154,6.15384615384615,10.6688963210702,13.6387959866221,4.16722408026756,"HHGS_DS","female"
"130",1,FALSE,548475.199032358,4800559.180039,17.8461538461538,26.5384615384615,5.53846153846154,16.1036789297659,23.8595317725753,9.67558528428094,"HHGS_DS","female"
"131",1,FALSE,547761.019636967,4797193.24678763,10,22.8,26.7,10.1510067114094,23.4731543624161,22.8154362416107,"HHGS_DS","female"
"132",1,FALSE,550210.131678832,4805640.69530626,13.6666666666667,30.25,17.1666666666667,12.2524916943522,29.3322259136213,17.0730897009967,"HHGS_DS","female"
"133",1,FALSE,549622.37396831,4806491.07323475,0,0,0,3.43918918918919,3.83108108108108,1.30067567567568,"HHGS_DS","female"
"134",1,FALSE,547748.981857806,4795438.88651357,13.6363636363636,20.6363636363636,5.54545454545455,13.3774834437086,22.6258278145695,6.95364238410596,"HHGS_DS","female"
"135",1,FALSE,549736.107906982,4807197.39258169,8.75,16.8333333333333,2.16666666666667,13.6910299003322,19.2458471760797,4.72093023255814,"HHGS_DS","female"
"136",1,FALSE,548557.987734594,4800459.85799498,12.4615384615385,23.2307692307692,14.1538461538462,14.9,22.75,14.02,"HHGS_DS","female"
"137",1,FALSE,547839.976941321,4802419.02771625,14.4166666666667,28.75,7.25,15.0099337748344,28.0993377483444,6.58278145695364,"HHGS_DS","female"
"138",1,FALSE,547163.057383356,4797059.14482075,15.7272727272727,24.0909090909091,14.6363636363636,14.2182410423453,21.1237785016287,17.9120521172638,"HHGS_DS","female"
